,team,player_number,club,position,fifa_name,birth,name,height,weight
569,Saudi Arabia,18,Villarreal CF (ESP),MF,SALEM ALDAWSARI,1991-08-19,SALEM,174,68
570,Saudi Arabia,19,Levante UD (ESP),FW,FAHAD ALMUWALLAD,1994-09-14,FAHAD,168,65
571,Saudi Arabia,20,Al Ahli SC (KSA),FW,MUHANNAD ASIRI,1986-10-14,MUHANNAD,185,79
572,Saudi Arabia,21,Al Ahli SC (KSA),GK,YASSER ALMOSAILEM,1984-02-27,ALMOSAILEM,186,88
573,Saudi Arabia,22,Al Ahli SC (KSA),GK,MOHAMMED ALOWAIS,1991-10-10,ALOWAIS,187,79
574,Saudi Arabia,23,Al Ahli SC (KSA),DF,MOTAZ HAWSAWI,1992-02-17,MOTAZ,180,79
575,Senegal,1,Stade Rennais FC (FRA),GK,DIALLO Abdoulaye,1992-03-30,DIALLO,189,79
576,Senegal,2,Valenciennes FC (FRA),DF,CISS Saliou,1989-06-15,CISS,173,69
577,Senegal,3,SSC Napoli (ITA),DF,KOULIBALY Kalidou,1991-06-20,KOULIBALY,195,89
578,Senegal,4,RSC Anderlecht (BEL),DF,MBODJI Kara,1989-11-22,KARA,192,85
579,Senegal,5,Everton FC (ENG),MF,GUEYE Idrissa Gana,1989-09-26,GANA,174,64
580,Senegal,6,Hannover 96 (GER),MF,SANE Salif,1990-08-25,S. SANE,196,84
581,Senegal,7,Bursaspor (TUR),FW,SOW Moussa,1986-01-19,SOW,180,75
582,Senegal,8,West Ham United FC (ENG),MF,KOUYATE Cheikhou,1989-12-21,C. KOUYATE,189,75
583,Senegal,9,Stoke City FC (ENG),FW,DIOUF Mame,1987-12-16,M. DIOUF,185,81
584,Senegal,10,Liverpool FC (ENG),FW,MANE Sadio,1992-10-04,MANE,175,69
585,Senegal,11,Birmingham City FC (ENG),MF,NDOYE Cheikh,1986-03-29,CH. NDOYE,192,90
586,Senegal,12,FC Girondins Bordeaux (FRA),DF,SABALY Youssouf,1993-05-03,SABALY,174,71
587,Senegal,13,Wolverhampton Wanderers FC (ENG),MF,NDIAYE Alfred,1990-06-03,A. NDIAYE,186,80
588,Senegal,14,Amiens SC (FRA),FW,KONATE Moussa,1993-03-04,KONATE,180,78
589,Senegal,15,Stade Rennais FC (FRA),FW,SAKHO Diafra,1989-12-24,SAKHO,184,79
590,Senegal,16,Horoya AC (GUI),GK,NDIAYE Khadim,1985-05-04,KH. NDIAYE,185,80
591,Senegal,17,Stoke City FC (ENG),MF,NDIAYE Pape Alioune,1990-10-27,P.A. NDIAYE,181,74
592,Senegal,18,Stade Rennais FC (FRA),FW,SARR Ismaila,1998-02-25,ISMAÏLA,175,70
593,Senegal,19,Torino FC (ITA),FW,NIANG Mbaye,1994-12-19,NIANG,184,74
594,Senegal,20,AS Monaco (FRA),FW,BALDE Keita,1995-08-03,KEÏTA BALDE,181,77
595,Senegal,21,Adanaspor (TUR),DF,GASSAMA Lamine,1989-10-20,GASSAMA,181,74
596,Senegal,22,KAS Eupen (BEL),DF,WAGUE Moussa,1998-04-10,M. WAGUE,177,70
597,Senegal,23,SPAL Ferrara (ITA),GK,GOMIS Alfred,1993-05-09,GOMIS,196,80
598,Serbia,1,FK Partizan (SRB),GK,STOJKOVIC Vladimir,1983-07-28,STOJKOVIĆ,195,92
599,Serbia,2,Villarreal CF (ESP),DF,RUKAVINA Antonio,1984-01-26,RUKAVINA,177,71
600,Serbia,3,Besiktas JK (TUR),DF,TOSIC Dusko,1985-01-19,TOŠIĆ,185,79
601,Serbia,4,Crystal Palace FC (ENG),MF,MILIVOJEVIC Luka,1991-07-04,MILIVOJEVIĆ,186,80
602,Serbia,5,RSC Anderlecht (BEL),DF,SPAJIC Uros,1993-02-13,SPAJIĆ,188,82
603,Serbia,6,FC Zenit St. Petersburg (RUS),DF,IVANOVIC Branislav,1984-02-22,IVANOVIĆ,185,89
604,Serbia,7,SL Benfica (POR),MF,ZIVKOVIC Andrija,1996-11-07,ŽIVKOVIĆ,169,68
605,Serbia,8,PAOK FC (GRE),FW,PRIJOVIC Aleksandar,1990-04-21,PRIJOVIĆ,191,88
606,Serbia,9,Fulham FC (ENG),FW,MITROVIC Aleksandar,1994-09-16,MITROVIĆ,189,82
607,Serbia,10,Southampton FC (ENG),MF,TADIC Dusan,1988-11-20,TADIĆ,181,76
608,Serbia,11,AS Roma (ITA),DF,KOLAROV Aleksandar,1985-10-11,KOLAROV,187,83
609,Serbia,12,Maccabi Tel-Aviv FC (ISR),GK,RAJKOVIC Predrag,1995-10-31,RAJKOVIĆ,191,85
