datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
12342,33,10,15,15-Oct-0033 00:00:00,0,0,0
12373,33,11,15,15-Nov-0033 00:00:00,0,0,0
12403,33,12,15,15-Dec-0033 00:00:00,0,0,0
12434,34,1,15,15-Jan-0034 00:00:00,0,0,0
12465,34,2,15,15-Feb-0034 00:00:00,0,0,0
12493,34,3,15,15-Mar-0034 00:00:00,0,0,0
12524,34,4,15,15-Apr-0034 00:00:00,0,0,0
12554,34,5,15,15-May-0034 00:00:00,0,0,0
12585,34,6,15,15-Jun-0034 00:00:00,0,0,0
12615,34,7,15,15-Jul-0034 00:00:00,0,0,0
12646,34,8,15,15-Aug-0034 00:00:00,0,0,0
12677,34,9,15,15-Sep-0034 00:00:00,0,0,0
12707,34,10,15,15-Oct-0034 00:00:00,0,0,0
12738,34,11,15,15-Nov-0034 00:00:00,0,0,0
12768,34,12,15,15-Dec-0034 00:00:00,0,0,0
12799,35,1,15,15-Jan-0035 00:00:00,0,0,0
12830,35,2,15,15-Feb-0035 00:00:00,0,0,0
12858,35,3,15,15-Mar-0035 00:00:00,0,0,0
12889,35,4,15,15-Apr-0035 00:00:00,0,0,0
12919,35,5,15,15-May-0035 00:00:00,0,0,0
12950,35,6,15,15-Jun-0035 00:00:00,0,0,0
12980,35,7,15,15-Jul-0035 00:00:00,0,0,0
13011,35,8,15,15-Aug-0035 00:00:00,0,0,0
13042,35,9,15,15-Sep-0035 00:00:00,0,0,0
13072,35,10,15,15-Oct-0035 00:00:00,0,0,0
13103,35,11,15,15-Nov-0035 00:00:00,0,0,0
13133,35,12,15,15-Dec-0035 00:00:00,0,0,0
13164,36,1,15,15-Jan-0036 00:00:00,0,0,0
13195,36,2,15,15-Feb-0036 00:00:00,0,0,0
13224,36,3,15,15-Mar-0036 00:00:00,0,0,0
13255,36,4,15,15-Apr-0036 00:00:00,0,0,0
13285,36,5,15,15-May-0036 00:00:00,0,0,0
13316,36,6,15,15-Jun-0036 00:00:00,0,0,0
13346,36,7,15,15-Jul-0036 00:00:00,0,0,0
13377,36,8,15,15-Aug-0036 00:00:00,0,0,0
13408,36,9,15,15-Sep-0036 00:00:00,0,0,0
13438,36,10,15,15-Oct-0036 00:00:00,0,0,0
13469,36,11,15,15-Nov-0036 00:00:00,0,0,0
13499,36,12,15,15-Dec-0036 00:00:00,0,0,0
13530,37,1,15,15-Jan-0037 00:00:00,0,0,0
13561,37,2,15,15-Feb-0037 00:00:00,0,0,0
13589,37,3,15,15-Mar-0037 00:00:00,0,0,0
13620,37,4,15,15-Apr-0037 00:00:00,0,0,0
13650,37,5,15,15-May-0037 00:00:00,0,0,0
13681,37,6,15,15-Jun-0037 00:00:00,0,0,0
13711,37,7,15,15-Jul-0037 00:00:00,0,0,0
13742,37,8,15,15-Aug-0037 00:00:00,0,0,0
13773,37,9,15,15-Sep-0037 00:00:00,0,0,0
13803,37,10,15,15-Oct-0037 00:00:00,0,0,0
13834,37,11,15,15-Nov-0037 00:00:00,0,0,0
13864,37,12,15,15-Dec-0037 00:00:00,0,0,0
13895,38,1,15,15-Jan-0038 00:00:00,0,0,0
13926,38,2,15,15-Feb-0038 00:00:00,0,0,0
13954,38,3,15,15-Mar-0038 00:00:00,0,0,0
13985,38,4,15,15-Apr-0038 00:00:00,0,0,0
14015,38,5,15,15-May-0038 00:00:00,0,0,0
14046,38,6,15,15-Jun-0038 00:00:00,0,0,0
14076,38,7,15,15-Jul-0038 00:00:00,0,0,0
14107,38,8,15,15-Aug-0038 00:00:00,0,0,0
14138,38,9,15,15-Sep-0038 00:00:00,0,0,0
