,co2,relative_temp
1887-11-15,291.148430292452,-0.40399999999999997
1887-12-15,291.817846781474,-0.395
1888-01-15,292.308528076281,-0.591
1888-02-15,292.714190305893,-0.44
1888-03-15,293.075636660964,-0.534
1888-04-15,293.334398850369,-0.23800000000000002
1888-05-15,293.288971290173,-0.34700000000000003
1888-06-15,292.563051342724,-0.292
1888-07-15,290.946526829216,-0.304
1888-08-15,289.385673294448,-0.278
1888-09-15,289.385945818259,-0.21899999999999997
1888-10-15,290.465632327077,-0.095
1888-11-15,291.508955349124,-0.19399999999999998
1888-12-15,292.17847877018903,-0.16899999999999998
1889-01-15,292.673150386703,-0.067
1889-02-15,293.076889186958,-0.08199999999999999
1889-03-15,293.435356998039,-0.064
1889-04-15,293.690534651283,0.01
1889-05-15,293.63971817655204,-0.08
1889-06-15,292.90740107283796,-0.14400000000000002
1889-07-15,291.287767345491,-0.191
1889-08-15,289.72764296053504,-0.22
1889-09-15,289.72857003377203,-0.381
1889-10-15,290.80987394250997,-0.298
1889-11-15,291.85452004337503,-0.39799999999999996
1889-12-15,292.524563858583,-0.179
1890-01-15,293.0147245866,-0.32899999999999996
1890-02-15,293.41839259709,-0.368
1890-03-15,293.777031041337,-0.46299999999999997
1890-04-15,294.032611320709,-0.324
1890-05-15,293.98230509168,-0.41700000000000004
1890-06-15,293.250620633766,-0.371
1890-07-15,291.632000928778,-0.405
1890-08-15,290.07326958018103,-0.41600000000000004
1890-09-15,290.075654935125,-0.473
1890-10-15,291.158513987458,-0.498
1890-11-15,292.204687606564,-0.555
1890-12-15,292.876175626813,-0.41100000000000003
1891-01-15,293.36914921377996,-0.512
1891-02-15,293.773853221516,-0.474
1891-03-15,294.133245534071,-0.363
1891-04-15,294.389398263031,-0.358
1891-05-15,294.339016725229,-0.19899999999999998
1891-06-15,293.606829347918,-0.28800000000000003
1891-07-15,291.988703930955,-0.32299999999999995
1891-08-15,290.43159965367,-0.313
1891-09-15,290.435344201141,-0.193
1891-10-15,291.519597772002,-0.322
1891-11-15,292.56672235993597,-0.541
1891-12-15,293.238527209887,-0.115
1892-01-15,293.722100522894,-0.39799999999999996
1892-02-15,294.12731284707803,-0.11199999999999999
1892-03-15,294.487873537486,-0.47
1892-04-15,294.745333822765,-0.484
1892-05-15,294.698253904187,-0.40299999999999997
1892-06-15,293.970340918997,-0.461
1892-07-15,292.35139417226895,-0.526
1892-08-15,290.787705883895,-0.44299999999999995
1892-09-15,290.784873152327,-0.325
1892-10-15,291.86118690228403,-0.441
1892-11-15,292.900924982919,-0.627
1892-12-15,293.566686625315,-0.7929999999999999
1893-01-15,294.04179863307496,-0.9740000000000001
1893-02-15,294.443913578808,-0.727
1893-03-15,294.802708023569,-0.373
1893-04-15,295.059163290129,-0.5670000000000001
1893-05-15,295.014586108296,-0.5589999999999999
1893-06-15,294.291415169988,-0.45899999999999996
1893-07-15,292.671135726117,-0.27699999999999997
1893-08-15,291.099266176315,-0.29100000000000004
1893-09-15,291.089614606192,-0.43
1893-10-15,292.158717729655,-0.27399999999999997
1893-11-15,293.19366458119,-0.415
1893-12-15,293.858003634949,-0.34
1894-01-15,294.34090774798403,-0.465
1894-02-15,294.745861706318,-0.374
1894-03-15,295.108268274283,-0.38
1894-04-15,295.368700220711,-0.38799999999999996
1894-05-15,295.329048984608,-0.42100000000000004
1894-06-15,294.61113549328604,-0.493
1894-07-15,292.993717093668,-0.315
1894-08-15,291.42184255965196,-0.341
1894-09-15,291.411541275211,-0.45799999999999996
1894-10-15,292.478586704199,-0.444
1894-11-15,293.510684073475,-0.42
1894-12-15,294.171692741863,-0.41
1895-01-15,294.650752657032,-0.49700000000000005
1895-02-15,295.051800959878,-0.677
1895-03-15,295.410134547676,-0.519
1895-04-15,295.66634734428,-0.405
1895-05-15,295.62330063688,-0.415
1895-06-15,294.90263668489104,-0.33299999999999996
1895-07-15,293.280918715992,-0.348
1895-08-15,291.703158327726,-0.261
1895-09-15,291.68791790265,-0.284
1895-10-15,292.75065327953604,-0.337
1895-11-15,293.780056047874,-0.297
1895-12-15,294.440309147304,-0.318
1896-01-15,294.923984447266,-0.21899999999999997
1896-02-15,295.32674710112,-0.23
1896-03-15,295.687321755497,-0.387
1896-04-15,295.94616381198,-0.35200000000000004
1896-05-15,295.90567967157904,-0.205
1896-06-15,295.187439707066,-0.11900000000000001
1896-07-15,293.568607357919,-0.11199999999999999
1896-08-15,291.99407515137403,-0.063
1896-09-15,291.98142931569197,-0.109
1896-10-15,293.046100141519,-0.12300000000000001
1896-11-15,294.076319446002,-0.28600000000000003
1896-12-15,294.736117869673,-0.034
1897-01-15,295.21807101948997,-0.203
1897-02-15,295.618515125015,-0.125
1897-03-15,295.976220536815,-0.275
1897-04-15,296.231890017554,-0.076
