name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Eleanor Logan,United States of America,24,188.0,84.0,F,1987-12-27 00:00:00,1,0,0,1,Rowing,Women's Eight
Constantine Louloudis,Great Britain,20,190.0,94.0,M,1991-09-15 00:00:00,0,0,1,1,Rowing,Men's Eight
Chunlong Lu,People's Republic of China,23,170.0,57.0,M,1989-04-08 00:00:00,0,0,1,1,Trampoline,Men's Trampoline
Haojie Lu,People's Republic of China,22,175.0,76.0,M,1990-08-03 00:00:00,0,1,0,1,Weightlifting,Men's 77kg
Xiaojun Lu,People's Republic of China,28,172.0,77.0,M,1984-07-27 00:00:00,1,0,0,1,Weightlifting,Men's 77kg
Ying Lu,People's Republic of China,23,175.0,62.0,F,1989-01-22 00:00:00,0,1,0,1,Swimming,"Women's 100m Butterfly, Women's 4x100m Medley Relay"
Zhiwu Lu,People's Republic of China,23,182.0,76.0,M,1989-03-18 00:00:00,0,0,1,1,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Yutong Luo,People's Republic of China,26,165.0,62.0,M,1985-10-06 00:00:00,1,0,0,1,Diving,Men's Synchronised 3m Springboard
Jin Ma,People's Republic of China,24,165.0,61.0,F,1988-05-07 00:00:00,0,1,0,1,Badminton,Mixed Doubles
James Magnussen,Australia,21,195.0,90.0,M,1991-04-11 00:00:00,0,1,0,1,Swimming,"Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Gregory Mallet,France,28,195.0,82.0,M,1984-03-21 00:00:00,0,1,0,1,Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
Marti Malloy,United States of America,26,160.0,57.0,F,1986-06-23 00:00:00,0,0,1,1,Judo,Women's -57kg
Maiya Maneza,Kazakhstan,26,161.0,62.0,F,1985-11-01 00:00:00,1,0,0,1,Weightlifting,Women's 63kg
Mc Kayla Maroney,United States of America,16,160.0,46.0,F,1995-12-09 00:00:00,1,0,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Darcy Marquardt,Canada,33,182.0,76.0,F,1979-03-22 00:00:00,0,1,0,1,Rowing,Women's Eight
Adrienne Martelli,United States of America,24,185.0,79.0,F,1987-12-03 00:00:00,0,0,1,1,Rowing,Women's Quadruple Sculls
Michal Martikan,Slovakia,33,170.0,71.0,M,1979-05-18 00:00:00,0,0,1,1,Canoe Slalom,Men's Canoe Single (C1)
