país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Liberia,"LBR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","32.43","61.999"
Liberia,"LBR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","3285455000"
Liberia,"LBR","Población, hombres","SP.POP.TOTL.MA.IN","568114","2387359"
Liberia,"LBR","Población, mujeres","SP.POP.TOTL.FE.IN","552199","2344547"
Liberia,"LBR","Población, total","SP.POP.TOTL","1120313","4731906"
Madagascar,"MDG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","40.954","67.91"
Madagascar,"MDG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","39.962","66.312"
Madagascar,"MDG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.042","64.73"
Madagascar,"MDG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","673081724.076322","11499803806.5729"
Madagascar,"MDG","Población, hombres","SP.POP.TOTL.MA.IN","2592807","12752053"
Madagascar,"MDG","Población, mujeres","SP.POP.TOTL.FE.IN","2506566","12818842"
Madagascar,"MDG","Población, total","SP.POP.TOTL","5099373","25570895"
Malawi,"MWI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.335","66.21"
Malawi,"MWI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","37.805","63.671"
Malawi,"MWI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","37.239","61.018"
Malawi,"MWI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","162956740.865183","6303292264.18905"
Malawi,"MWI","Población, hombres","SP.POP.TOTL.MA.IN","1751841","9225153"
Malawi,"MWI","Población, mujeres","SP.POP.TOTL.FE.IN","1866754","9396951"
Malawi,"MWI","Población, total","SP.POP.TOTL","3618595","18622104"
Malí,"MLI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","29.026","59.189"
Malí,"MLI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","28.199","58.456"
Malí,"MLI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","27.436","57.714"
Malí,"MLI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","15334336143.644"
Malí,"MLI","Población, hombres","SP.POP.TOTL.MA.IN","2660862","9279064"
Malí,"MLI","Población, mujeres","SP.POP.TOTL.FE.IN","2602871","9262916"
Malí,"MLI","Población, total","SP.POP.TOTL","5263733","18541980"
Mauricio,"MUS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","60.626","77.89"
Mauricio,"MUS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","58.7452195121951","74.5146341463415"
Mauricio,"MUS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","56.954","71.3"
Mauricio,"MUS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","13266427697.2513"
Mauricio,"MUS","Población, hombres","SP.POP.TOTL.MA.IN","328768","625519"
Mauricio,"MUS","Población, mujeres","SP.POP.TOTL.FE.IN","330583","639094"
Mauricio,"MUS","Población, total","SP.POP.TOTL","659351","1264613"
Mauritania,"MRT","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","43.92","64.918"
Mauritania,"MRT","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","43.488","63.384"
Mauritania,"MRT","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","43.067","61.861"
Mauritania,"MRT","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","92609222.6912849","5024708655.99147"
Mauritania,"MRT","Población, hombres","SP.POP.TOTL.MA.IN","425066","2227764"
Mauritania,"MRT","Población, mujeres","SP.POP.TOTL.FE.IN","433102","2192420"
Mauritania,"MRT","Población, total","SP.POP.TOTL","858168","4420184"
Mozambique,"MOZ","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","36.381","60.966"
Mozambique,"MOZ","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","35.026","58.872"
Mozambique,"MOZ","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","33.692","56.671"
Mozambique,"MOZ","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","12645508633.7664"
Mozambique,"MOZ","Población, hombres","SP.POP.TOTL.MA.IN","3610372","14490334"
Mozambique,"MOZ","Población, mujeres","SP.POP.TOTL.FE.IN","3778323","15178500"
Mozambique,"MOZ","Población, total","SP.POP.TOTL","7388695","29668834"
Namibia,"NAM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","49.111","67.724"
Namibia,"NAM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","46.91","64.85"
Namibia,"NAM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","44.758","61.821"
Namibia,"NAM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","13253698014.7075"
Namibia,"NAM","Población, hombres","SP.POP.TOTL.MA.IN","297457","1232670"
