país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
República Democrática Popular Lao,"LAO","Población, hombres","SP.POP.TOTL.MA.IN","1042273","3420930"
República Democrática Popular Lao,"LAO","Población, mujeres","SP.POP.TOTL.FE.IN","1078623","3437230"
República Democrática Popular Lao,"LAO","Población, total","SP.POP.TOTL","2120896","6858160"
Samoa,"WSM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","53.35","78.48"
Samoa,"WSM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","49.748","75.24"
Samoa,"WSM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","46.75","72.258"
Samoa,"WSM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","840927996.555194"
Samoa,"WSM","Población, hombres","SP.POP.TOTL.MA.IN","55148","101357"
Samoa,"WSM","Población, mujeres","SP.POP.TOTL.FE.IN","53498","95083"
Samoa,"WSM","Población, total","SP.POP.TOTL","108646","196440"
Samoa Americana,"ASM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Samoa Americana,"ASM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Samoa Americana,"ASM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Samoa Americana,"ASM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","634000000"
Samoa Americana,"ASM","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Samoa Americana,"ASM","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Samoa Americana,"ASM","Población, total","SP.POP.TOTL","20013","55641"
Singapur,"SGP","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","69.195","85.2"
Singapur,"SGP","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","65.6598292682927","82.8951219512195"
Singapur,"SGP","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.293","80.7"
Singapur,"SGP","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","704462302.365086","323907234412.34"
Singapur,"SGP","Población, hombres","SP.POP.TOTL.MA.IN","867319","2773000"
Singapur,"SGP","Población, mujeres","SP.POP.TOTL.FE.IN","779081","2839253"
Singapur,"SGP","Población, total","SP.POP.TOTL","1646400","5612253"
Tailandia,"THA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","57.059","79.298"
Tailandia,"THA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","54.703","75.498"
Tailandia,"THA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","52.452","71.798"
Tailandia,"THA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","2760747471.88624","455302682985.757"
Tailandia,"THA","Población, hombres","SP.POP.TOTL.MA.IN","13718971","33664899"
Tailandia,"THA","Población, mujeres","SP.POP.TOTL.FE.IN","13678204","35372614"
Tailandia,"THA","Población, total","SP.POP.TOTL","27397175","69037513"
Timor-Leste,"TLS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","34.32","71.098"
Timor-Leste,"TLS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","33.729","69.199"
Timor-Leste,"TLS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","33.182","67.417"
Timor-Leste,"TLS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","2954620999.58441"
Timor-Leste,"TLS","Población, hombres","SP.POP.TOTL.MA.IN","253705","658290"
Timor-Leste,"TLS","Población, mujeres","SP.POP.TOTL.FE.IN","246245","638021"
Timor-Leste,"TLS","Población, total","SP.POP.TOTL","499950","1296311"
Tonga,"TON","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","61.721","76.233"
Tonga,"TON","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","61.401","73.179"
Tonga,"TON","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","61.026","70.156"
Tonga,"TON","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","427659795.301271"
Tonga,"TON","Población, hombres","SP.POP.TOTL.MA.IN","31271","54189"
Tonga,"TON","Población, mujeres","SP.POP.TOTL.FE.IN","30330","53831"
Tonga,"TON","Población, total","SP.POP.TOTL","61601","108020"
Tuvalu,"TUV","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Tuvalu,"TUV","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Tuvalu,"TUV","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Tuvalu,"TUV","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","39731317.3044487"
Tuvalu,"TUV","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Tuvalu,"TUV","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Tuvalu,"TUV","Población, total","SP.POP.TOTL","6104","11192"
Vanuatu,"VUT","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","47.979","74.658"
Vanuatu,"VUT","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","46.441","72.334"
Vanuatu,"VUT","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","45.067","70.22"
Vanuatu,"VUT","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","862879789.027549"
Vanuatu,"VUT","Población, hombres","SP.POP.TOTL.MA.IN","32877","139779"
Vanuatu,"VUT","Población, mujeres","SP.POP.TOTL.FE.IN","30822","136465"
Vanuatu,"VUT","Población, total","SP.POP.TOTL","63699","276244"
Viet Nam,"VNM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","62.678","81.04"
Viet Nam,"VNM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","59.041","76.454"
Viet Nam,"VNM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","55.628","71.767"
Viet Nam,"VNM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","223779865815.183"
Viet Nam,"VNM","Población, hombres","SP.POP.TOTL.MA.IN","16116127","47278444"
Viet Nam,"VNM","Población, mujeres","SP.POP.TOTL.FE.IN","16554502","48262356"
Viet Nam,"VNM","Población, total","SP.POP.TOTL","32670629","95540800"
,"","","","",""
,"","","","",""
,"","","","",""
Data from Database: Indicadores del desarrollo mundial,"","","","",""
Last Updated: 04/24/2019,"","","","",""
